# omega0=1, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=150.00, h=0.01
#   t          x(t)                 v(t)       
1.907803538725445e+01 -1.893011696925639e+01 -2.753804772866201e+00
1.919227512011225e+01 -1.924265409282128e+01 -2.711227942905230e+00
1.930651485297004e+01 -1.954816959369012e+01 -2.631800390205648e+00
1.942075458582784e+01 -1.984282290991147e+01 -2.522402684546957e+00
1.953499431868564e+01 -2.012367484141381e+01 -2.391693028244107e+00
1.964923405154343e+01 -2.038880862791047e+01 -2.248690926137331e+00
1.976347378440123e+01 -2.063730199561558e+01 -2.101631696809501e+00
1.987771351725903e+01 -2.086909331418223e+01 -1.957270706466856e+00
1.999195325011683e+01 -2.108479426660083e+01 -1.820629481497084e+00
2.010619298297462e+01 -2.128549342109076e+01 -1.695066435385189e+00
2.022043271583242e+01 -2.147257953957408e+01 -1.582528938923359e+00
2.033467244869022e+01 -2.164759824059853e+01 -1.483869011063440e+00
2.044891218154801e+01 -2.181214457613159e+01 -1.399147305958114e+00
2.056315191440581e+01 -2.196778774365948e+01 -1.327888053381489e+00
2.067739164726361e+01 -2.211602149468562e+01 -1.269273609492586e+00
2.079163138012141e+01 -2.225823342753609e+01 -1.222281756512661e+00
2.090587111297920e+01 -2.239568713179924e+01 -1.185775202614107e+00
2.102011084583700e+01 -2.252951235185112e+01 -1.158554287753517e+00
2.113435057869480e+01 -2.266069956594285e+01 -1.139383178082981e+00
2.124859031155259e+01 -2.279009646872215e+01 -1.126998323787593e+00
2.136283004441039e+01 -2.291840475810875e+01 -1.120106421069395e+00
2.147706977726819e+01 -2.304617637933729e+01 -1.117377854379634e+00
2.159130951012598e+01 -2.317380900417399e+01 -1.117440632406997e+00
2.170554924298378e+01 -2.330154105112475e+01 -1.118879064159462e+00
2.181978897584158e+01 -2.342944699578911e+01 -1.120240678789910e+00
2.193402870869938e+01 -2.355743407160129e+01 -1.120053991405333e+00
2.204826844155717e+01 -2.368524169289925e+01 -1.116858509436713e+00
2.216250817441497e+01 -2.381244500502640e+01 -1.109246798909235e+00
2.227674790727277e+01 -2.393846384064462e+01 -1.095916558526298e+00
2.239098764013056e+01 -2.406257801533051e+01 -1.075728709989302e+00
2.250522737298836e+01 -2.418394934080913e+01 -1.047765868819850e+00
2.261946710584616e+01 -2.430165002849431e+01 -1.011384628816411e+00
2.273370683870396e+01 -2.441469640173366e+01 -9.662552166898603e-01
2.284794657156175e+01 -2.452208616259971e+01 -9.123833777599198e-01
2.296218630441955e+01 -2.462283699609292e+01 -8.501116628551026e-01
2.307642603727735e+01 -2.471602413187187e+01 -7.801001373838709e-01
2.319066577013514e+01 -2.480081464796286e+01 -7.032893013071486e-01
2.330490550299294e+01 -2.487649674767559e+01 -6.208500996137650e-01
