# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=25, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.8800  9.887481180888000e-04  -2.195454053728886e-03  2.410009251017300e-06  1.929750138875474e-05
1.8900  9.670355269619781e-04  -2.147242587801591e-03  2.305325365434437e-06  1.845927330868386e-05
1.9000  9.457997373630801e-04  -2.100089830182384e-03  2.205188647417737e-06  1.765745545085169e-05
1.9100  9.250302788836832e-04  -2.053972531976846e-03  2.109401581057688e-06  1.689046625969482e-05
1.9200  9.047169110421706e-04  -2.008867954828812e-03  2.017775229969048e-06  1.615679287788473e-05
1.9300  8.848496182346131e-04  -1.964753859709116e-03  1.930128864620934e-06  1.545498816227361e-05
1.9400  8.654186047965269e-04  -1.921608495950524e-03  1.846289605854617e-06  1.478366782945898e-05
1.9500  8.464142901730746e-04  -1.879410590523471e-03  1.766092083885891e-06  1.414150772533671e-05
1.9600  8.278273041953252e-04  -1.838139337547288e-03  1.689378112119392e-06  1.352724121325687e-05
1.9700  8.096484824602487e-04  -1.797774388031762e-03  1.615996375131489e-06  1.293965667563057e-05
1.9800  7.918688618121624e-04  -1.758295839843970e-03  1.545802130206305e-06  1.237759512405991e-05
1.9900  7.744796759234035e-04  -1.719684227895433e-03  1.478656921836156e-06  1.183994791327688e-05
2.0000  7.574723509720496e-04  -1.681920514544766e-03  1.414428308623265e-06  1.132565455438230e-05
2.0100  7.408385014145536e-04  -1.644986080211073e-03  1.352989602044095e-06  1.083370062307137e-05
2.0200  7.245699258512119e-04  -1.608862714193474e-03  1.294219616560996e-06  1.036311575871988e-05
2.0300  7.086586029824244e-04  -1.573532605692232e-03  1.238002430588293e-06  9.912971750384386e-06
2.0400  6.930966876537544e-04  -1.538978335027052e-03  1.184227157841319e-06  9.482380705941034e-06
2.0500  6.778765069878363e-04  -1.505182865048223e-03  1.132787728617389e-06  9.070493300751724e-06
2.0600  6.629905566012275e-04  -1.472129532736370e-03  1.083582680577302e-06  8.676497102403245e-06
2.0700  6.484314969043363e-04  -1.439802040986672e-03  1.036514958614693e-06  8.299614968214894e-06
2.0800  6.341921494826003e-04  -1.408184450573496e-03  9.914917234184892e-07  7.939103512353736e-06
2.0900  6.202654935571364e-04  -1.377261172291484e-03  9.484241683508562e-07  7.594251639534069e-06
2.1000  6.066446625231100e-04  -1.347016959269221e-03  9.072273442794495e-07  7.264379142408660e-06
2.1100  5.933229405641244e-04  -1.317436899451693e-03  8.678199920184451e-07  6.948835359885400e-06
2.1200  5.802937593409532e-04  -1.288506408247823e-03  8.301243820478530e-07  6.646997893722722e-06
2.1300  5.675506947529904e-04  -1.260211221339472e-03  7.940661611949613e-07  6.358271380872510e-06
2.1400  5.550874637708162e-04  -1.232537387648343e-03  7.595742059755007e-07  6.082086319148886e-06
2.1500  5.428979213383189e-04  -1.205471262457341e-03  7.265804823052474e-07  5.817897943906549e-06
2.1600  5.309760573428451e-04  -1.178999500682975e-03  6.950199113053518e-07  5.565185153513021e-06
2.1700  5.193159936518856e-04  -1.153109050295501e-03  6.648302409366962e-07  5.323449481495275e-06
2.1800  5.079119812148331e-04  -1.127787145883558e-03  6.359519232100908e-07  5.092214113333364e-06
2.1900  4.967583972283855e-04  -1.103021302360117e-03  6.083279967301041e-07  4.871022945961723e-06
2.2000  4.858497423641947e-04  -1.078799308806651e-03  5.819039743408543e-07  4.659439688123012e-06
2.2100  4.751806380573975e-04  -1.055109222452483e-03  5.566277356521418e-07  4.457046999800043e-06
2.2200  4.647458238546876e-04  -1.031939362786343e-03  5.324494242339418e-07  4.263445669028287e-06
2.2300  4.545401548206239e-04  -1.009278305797238e-03  5.093213492764717e-07  4.078253824465284e-06
2.2400  4.445585990008952e-04  -9.871148783417878e-04  4.871978915218613e-07  3.901106182163800e-06
2.2500  4.347962349412910e-04  -9.654381526352520e-04  4.660354132818840e-07  3.731653325062960e-06
2.2600  4.252482492611544e-04  -9.442374408635337e-04  4.457921723642577e-07  3.569561013776260e-06
2.2700  4.159099342801223e-04  -9.235022899135011e-04  4.264282397377401e-07  3.414509527316936e-06
2.2800  4.067766856969801e-04  -9.032224762190291e-04  4.079054207736173e-07  3.266193032460352e-06
2.2900  3.978440003194892e-04  -8.833880007202220e-04  3.901871799082355e-07  3.124318980499462e-06
2.3000  3.891074738440665e-04  -8.639890839333279e-04  3.732385685779755e-07  2.988607530203494e-06
2.3100  3.805627986842208e-04  -8.450161611289170e-04  3.570261562845259e-07  2.858790995841651e-06
2.3200  3.722057618466772e-04  -8.264598776159465e-04  3.415179646544826e-07  2.734613319183070e-06
2.3300  3.640322428541398e-04  -8.083110841293839e-04  3.266834043632100e-07  2.615829564431602e-06
2.3400  3.560382117136708e-04  -7.905608323191191e-04  3.124932147985491e-07  2.502205435099157e-06
2.3500  3.482197269296833e-04  -7.732003703379360e-04  2.989194063453607e-07  2.393516811864703e-06
2.3600  3.405729335605673e-04  -7.562211385263735e-04  2.859352051770623e-07  2.289549310507332e-06
2.3700  3.330940613179926e-04  -7.396147651923420e-04  2.735150004452616e-07  2.190097859041447e-06
2.3800  3.257794227079500e-04  -7.233730624834225e-04  2.616342937633227e-07  2.094966293219991e-06
2.3900  3.186254112126143e-04  -7.074880223498049e-04  2.502696508842190e-07  2.003966969607841e-06
2.4000  3.116284995121337e-04  -6.919518125958814e-04  2.393986554773629e-07  1.916920395462195e-06
2.4100  3.047852377454671e-04  -6.767567730185446e-04  2.289998649132369e-07  1.833654874689886e-06
2.4200  2.980922518094144e-04  -6.618954116302865e-04  2.190527679686132e-07  1.754006169183301e-06
2.4300  2.915462416949978e-04  -6.473604009652392e-04  2.095377443689377e-07  1.677817174866886e-06
2.4400  2.851439798603769e-04  -6.331445744663319e-04  2.004360260880763e-07  1.604937611815271e-06
2.4500  2.788823096394937e-04  -6.192409229517851e-04  1.917296603290893e-07  1.535223727831767e-06
2.4600  2.727581436856628e-04  -6.056425911592007e-04  1.834014741130154e-07  1.468538014902569e-06
2.4700  2.667684624493407e-04  -5.923428743655406e-04  1.754350404058153e-07  1.404748937967367e-06
2.4800  2.609103126893219e-04  -5.793352150813319e-04  1.678146457166666e-07  1.343730675471392e-06
2.4900  2.551808060166297e-04  -5.666131998174640e-04  1.605252591036927e-07  1.285362871187128e-06
2.5000  2.495771174703811e-04  -5.541705559229876e-04  1.535525025259966e-07  1.229530396816182e-06
2.5100  2.440964841249274e-04  -5.420011484923540e-04  1.468826224835154e-07  1.176123124903048e-06
2.5200  2.387362037275795e-04  -5.300989773405699e-04  1.405024628887590e-07  1.125035711612839e-06
2.5300  2.334936333662494e-04  -5.184581740447771e-04  1.343994391169222e-07  1.076167388944541e-06
2.5400  2.283661881663501e-04  -5.070729990507993e-04  1.285615131831860e-07  1.029421765969917e-06
2.5500  2.233513400163101e-04  -4.959378388432261e-04  1.229771699982449e-07  9.847066387060293e-07
2.5600  2.184466163210762e-04  -4.850472031776427e-04  1.176353946552267e-07  9.419338082463496e-07
2.5700  2.136495987829884e-04  -4.743957223736385e-04  1.125256507032032e-07  9.010189067917354e-07
2.5800  2.089579222094267e-04  -4.639781446672605e-04  1.076378593644366e-07  8.618812312381190e-07
2.5900  2.043692733466413e-04  -4.537893336216047e-04  1.029623796543701e-07  8.244435839926696e-07
2.6000  1.998813897391922e-04  -4.438242655942727e-04  9.848998936514775e-08  7.886321207044482e-07
2.6100  1.954920586144337e-04  -4.340780272604394e-04  9.421186687515737e-08  7.543762046091983e-07
2.6200  1.911991157914972e-04  -4.245458131903146e-04  9.011957374871277e-08  7.216082672009901e-07
2.6300  1.870004446142306e-04  -4.152229234798036e-04  8.620503809155742e-08  6.902636749558820e-07
2.6400  1.828939749075716e-04  -4.061047614331960e-04  8.246053862935651e-08  6.602806018447263e-07
2.6500  1.788776819568368e-04  -3.971868312967425e-04  7.887868947777348e-08  6.315999073836515e-07
2.6600  1.749495855094273e-04  -3.884647360420028e-04  7.545242557409144e-08  6.041650199816834e-07
2.6700  1.711077487984553e-04  -3.799341751978688e-04  7.217498874164241e-08  5.779218253554102e-07
2.6800  1.673502775878119e-04  -3.715909427301967e-04  6.903991435955817e-08  5.528185597905931e-07
2.6900  1.636753192382046e-04  -3.634309249680018e-04  6.604101861154868e-08  5.288057080401883e-07
2.7000  1.600810617937049e-04  -3.554500985751932e-04  6.317238628855730e-08  5.058359056573830e-07
2.7100  1.565657330883546e-04  -3.476445285668482e-04  6.042835912123307e-08  4.838638455710075e-07
2.7200  1.531275998723907e-04  -3.400103663690494e-04  5.780352461920759e-08  4.628461887190402e-07
2.7300  1.497649669576584e-04  -3.325438479213263e-04  5.529270539516111e-08  4.427414785639388e-07
2.7400  1.464761763817902e-04  -3.252412918207679e-04  5.289094895262095e-08  4.235100593211800e-07
